No.,Puzzle,Solution,Solve time in seconds
1,300005100000064308900000000005030002003408500600050400000000001506140000009200003',362875194751964328984321765475639812293418576618752439837596241526143987149287653',2.193943499998568
2,003000001800050300250000040000280000400003060100906000600000007340000800518490230',793824651864751329251369748936285174485173962172946583629538417347612895518497236',0.19546020000052522
3,504308102000000000800604009408070203000902000206040508100405007000000000703209805',574398162629751384831624759418576293357982416296143578182465937945837621763219845',0.014730899998539826
4,060902300800400070000000406120030007000704000300020065506000000040007003002105080',467952318853461279219378456128536947695714832374829165586243791941687523732195684',0.10531800000171643
5,061003820200000016700000009000930008000604000900027000800000007350000002072400930',461793825293845716785216349546931278127684593938527164819362457354179682672458931',0.041285200000857
6,900306000001007200008200040003000017570000000000000902010002680602090000030060009',925346871341857296768219543293685417574921368186473952419732685652198734837564129',0.05698789999951259
7,023000190040000020007204300000080000060319070700000003000070000370408016200906008',623857194845193627197264385932785461564319872718642953486571239379428516251936748',0.08218390000183717
8,000308000030594060070000030004802600100609004020000050008000200006000900500010006',961378542832594167475126839754832691183659724629741358348967215216485973597213486',0.06338420000247424
9,000094006090700000600500000208010009004003005050000240500041000040600020703002500',382194756495726138671538492238415679964273815157869243526341987849657321713982564',0.07386019999830751
10,000000090610000408430010070200071000000245600000390000503000000040000260902004730',825467391617539428439812576284671953391245687756398142573926814148753269962184735',0.02870009999969625
11,930004008600080900020000060400600000006249500000008002010000030007090005800100097',931564278674382951528917364452631789786249513193758642219475836347896125865123497',0.028217200000653975
12,070000030080100004106950000000260000000009700400008390300000200700000065028400900',574826139289137654136954872917263548863549721452718396345691287791382465628475913',0.03707809999832534
13,009007040004005080000000701020080960008506100046030070501000000030600800060900200',659817342714325689283469751125784963378596124946132578591278436432651897867943215',0.05574160000105621
14,000001003090450000000000920020003054060000000700200010005000096009805700400900508',582791463693452187147638925928173654361549872754286319875314296239865741416927538',0.10422269999980927
15,400200000000030008050800630800040095040508070560090001074009010100050000000007004',483276159716935428259814637837641295941528376562793841674389512198452763325167984',0.03532419999828562
16,000674000070801040005000700080406010032000470040705020003000200050207030000583000',298674351376851942415392768987426513532918476641735829763149285859267134124583697',0.04342259999975795
17,640000081000802000098000650004306700080401020000020000070000090000503000100070003',642957381531862974798134652254386719387491526916725438473618295829543167165279843',0.029583499999716878
18,006000700000208000018000340020703080000000000904000103003000800040090050500846001',396154728457238916218967345625713489731489562984625173163572894842391657579846231',0.09423769999921205
19,008000300006140290000032064080020700000015840700400020010000079005001000300600000',248596317536147298197832564481329756962715843753468921814253679675981432329674185',0.01883330000055139
20,000000300014980050700026040003060090092105670070090100060810003020049510001000000',258471369614983752739526841183764295492135678576298134965817423827349516341652987',0.013965900001494447
21,010002900000600000205000083500090008009070100400060002840000705000003000003800020',618532947734689251295741683526194378389275164471368592842916735957423816163857429',0.2243326000025263
22,000600150001000302090005048900020700000401000003070004180200060409000200035007000',348692157651784392792315648914528736876431925523976814187249563469853271235167489',0.13952319999953033
23,004020001095600000120007000080070100500809002002040090000700015000001360400050900',634928571795614283128537649986273154541869732372145896863792415259481367417356928',0.0877840000030119
24,040500180068000007700480003000058000070001500000200709320000090005020071107000200',943572186568139427712486953439758612276941538851263749324617895695824371187395264',0.0456080000003567
25,500200007000001053710040000008400000370108024000006500000080075860300000200007008',583269147946871253712543896698425731375198624421736589139682475867354912254917368',0.3614903999987291
26,000070000070002630096503400014000200500000008009000140008106920027900060000020000',243679815175842639896513472714398256532461798689257143458136927327984561961725384',0.11992900000041118
27,080004001509710000100009030001902800000000023002507600400005080908470000030001006',783654291529713468164289537341962875657148923892537614476325189918476352235891746',0.1313369999988936
28,042000000800750000000409080001007000560208097000100400020904000000031005000000370',142683759839752641756419283481397562563248197297165438325974816674831925918526374',0.558916699999827
