No.,Puzzle,Solution,Solve time in seconds
1,230500400006074900000600025000010060002006040000000309040020050107000004590000002',239581476856274931471693825384915267912736548765842319648129753127358694593467182',0.0037653999997928622
2,017060030900003007600008400000040350100607004034090000006200003300100005090080740',417965238928413567653728419769842351185637924234591876876254193342179685591386742',0.0025691000000733766
3,600700000009300050050018700000009400107000500000400082000030060800000900370060004',621795348789324651453618729238159476147286593596473182914837265862541937375962814',0.004424599999765633
4,000900702010057000000260005605030070039705460020090501500042000000170050704009000',356918742912457386478263915645831279139725468827694531581342697293176854764589123',0.002328799999304465
5,700000009800302007050907020006524300005000400003896700090105080600208001500000003',742681539869352147351947826176524398985713462423896715297135684634278951518469273',0.0020254000000932137
6,020905070800070004004806100902000408040000030607000502003708600500030009070509020',321945876869371254754826193932157468145682937687493512293718645516234789478569321',0.0016958999995040358
7,406000102527040839000000000002901300060000020004802700000000000645070218301000405',486793152527146839913285647752961384869437521134852796278514963645379218391628475',0.002790900000036345
8,300000001001702300090601040012000970000020000039000460070503090003804500500000004',387495621641782359295631847812346975456927183739158462174563298923874516568219734',0.00242919999982405
9,010070050805093001060001000000020970270906045053040000000500080500780102020060090',312478659845693721769251438486125973271936845953847216697512384534789162128364597',0.002015699999901699
10,092300070000700002500140000924000500000000004653000800700460000000800001035200090',192358476348796152576142389924687513817523964653914827781469235269835741435271698',0.0036571000000549247
11,010502070500971004007308900635000849020000030971000256003209500700483002090706080',319542678568971324247368915635127849824695731971834256483219567756483192192756483',0.0012839000000894885
12,500807004900050007000000000704090802000502000000703000093000680400000001007138400',526817394948356217371429568734691852869542173215783946193274685482965731657138429',0.002308800000719202
13,800004390001080004903007008070005809000010020198000000000500960000601000600400103',867254391521983674943167258276345819435819726198726435714538962382691547659472183',0.0021948000003249035
14,071200009300900600090051470000020000060804020000090000059710040006009008800002910',471286539325947681698351472147625893963874125582193764259718346716439258834562917',0.0022596999997404055
15,020700004480300500006008920540020600000605000002010045034100200007004039100009070',325791864489362517716458923543927681871645392692813745934176258267584139158239476',0.001661700000113342
16,700000003064000950030401020021609870000000000073508210090104080047000630500000004',718952463264783951935461728421639875859217346673548219396124587147895632582376194',0.002074699999866425
17,490000021000902000027000960300605004050000090800103002012000840000407000740000036',496758321183962475527341968379625184251874693864193752912536847635487219748219536',0.0021573000003627385
18,003050400005100800190002056002705060900000003040203500320500078004006300006070200',263857491475169832198432756832715964957684123641293587329541678784926315516378249',0.0019541000001481734
19,004300000730096010000108000050000640060000030007000508000900007600025090320000060',184372956732596814596148372253789641861254739947631528415963287678425193329817465',0.0039007000004858128
20,013005060600090000500000302000050000050207180400080090004030070800061900007000008',213475869648392751579618342781953426956247183432186597164839275825761934397524618',0.002687100000002829
21,000000680009601003060003004090060250000209000028050030100800020200705900053000000',315974682849621573762583194491368257537249816628157439174896325286735941953412768',0.002877200000511948
22,705401000008000070200008003002003097000196000530800600100300008020000300000904706',765431289348269175291758463612543897487196532539872614176325948924687351853914726',0.0030096999998932006
23,000052490050001003000030008000060019209304806810090000300020000700900060062580000',637852491958471623421639578543768219279314856816295347394126785785943162162587934',0.001995599999645492
