No.,Puzzle,Solution,Solve time in seconds
1,100900200000000900600003078470300800006000000002001009000560000500004000030007405',157948236823675914694123578475396821916482753382751649741569382568234197239817465',0.17671949999930803
2,400000600093600070060001004020030060000810300007000092500060000080205000009007006',452973618193684275768521934825739461946812357317456892574368129681295743239147586',0.0113932999993267
3,007500200003400056000002000140030020000080000050060041000700000730006500002009600',467513289923478156815692473146935728279184365358267941694751832731826594582349617',0.004528700002992991
4,006290501030000008007608000000009800075000004000004100003502000050000003002380905',486293571931475628527618439314759862875126394269834157193542786758961243642387915',0.044826500001363456
5,500046007000000060407200000205071000000500001804039000908100000000000030100094005',589346217321957468467218593295471386673582941814639752958123674742865139136794825',0.005985800002235919
6,300500400008402000090300705672000040000000000080000317907003050000708600001005004',326571489758492136194386725672139548413857962589624317967243851245718693831965274',0.01243350000004284
7,007006000209050306300000470000020050070640091000070040400000160901060705002001000',847236519219457386356819472694123857573648291128975643435792168981364725762581934',0.003114899998763576
8,082000530300080004700304008004601300010000080005809400600408003500090007028000940',482167539351982674769354128874621395916543782235879461697418253543296817128735946',0.003238299999793526
9,005000000306004070070180500900001205000802000802600004009026050020700609000000400',195267348386594172274183596963471285417852963852639714749326851521748639638915427',0.01584220000222558
10,500000002008060900060201050002857400050304020007126800090603070003070500200000003',541938762328765941769241358912857436856394127437126895195683274683472519274519683',0.0042317000006733
11,001206300200000006030908040090803050000409000000050000029000680300000001608000504',951246378284735916736918245497863152513429867862157439129574683345682791678391524',0.007126199998310767
12,000090000006204100081507290028000470700000002064000930052901640009805300000040000',235198764976234185481567293128359476793416852564782931352971648649825317817643529',0.006155799997941358
13,006400000050000020003089506001804007009060800700905100402590600010000030000003900',196452783857316429243789516561824397329167845784935162432591678915678234678243951',0.0033571999993000645
14,006003102080005000200190000001030800008604030430070000700300418000060700800000900',596783142187245396243196587651932874978654231432871659765329418319468725824517963',0.005696800002624514
15,009000040080250006053180700002090000000001390000800270007005602020000410300000000',219367548784259136653184729472593861865721394931846275197435682526978413348612957',0.006275099996855715
16,000007000803910007400000960900070800080503090004090001052000009100035406000200000',596487213823916547417352968965174832781523694234698751652741389179835426348269175',0.01341099999990547
17,007080100010000080280070045600807002070456090000000000050030020000000000004169800',467285139519643287283971645635897412172456398948312576856734921391528764724169853',0.003245799998694565
18,090007500030500000100004007007020405200035000005800030000902000040000089800050600',498267513732518946156394827387129465264735198915846732671982354543671289829453671',0.0027286000004096422
19,010204060000109000000050000050020070000406000900503001003000600640701083082030190',319284765578169432264357918451928376837416529926573841193842657645791283782635194',0.0032390000014856923
20,007000093030700806800064170070020300008403700001070060045630008703005040280000500',167852493432791856859364172574926381698413725321578964945637218713285649286149537',0.003086500000790693
21,600800200000100045090000630000002050002701400070600000065000090140007000008006002',653894271827163945491275638916432857382751469574689123265318794149527386738946512',0.0033889999976963736
22,000591000060302080300000001740050036620000018000609000008010300400000007030060040',284591673561372489397846521749158236625734918813629754978415362456283197132967845',0.005006899998988956
23,010900820090002001800074003700000980080060500200000007003000000000020019900403700',417936825396852471852174693765341982189267534234598167573619248648725319921483756',0.004322900000261143
24,750020006009500830306090000020005003000680000060001004105060000002700160680010002',758123496249576831316498527821945673493687215567231984175862349932754168684319752',0.008636999998998363
25,002000004000047001400913020004081050035600000078300010000000900007409000380000002',712568394893247561456913827924781653135694278678325419541872936267439185389156742',0.006458399999246467
26,600001050000000003870460000706000809002500000103000502360910000000000006400006020',634291758291875643875463291756124839982537164143689572367912485529748316418356927',0.004021699998702388
27,006900080082003005470000000300890070000104000010037006000000014500600320040008600',136975482982413765475286193364892571257164938819537246623759814598641327741328659',0.0032599000005575363
28,900000807001000400870206050009010200000408000006090700040607082008000600607000004',964351827251879463873246159589713246732468591416592738145637982398124675627985314',0.003380599999218248
29,050002001080061040006000500098020054040008020700600000000004700000076095200300000',453782961987561243126493578398127654645938127712645389569814732831276495274359816',0.0045418999980029184
30,030000010090000020081000340020504060000697000000080000900040002004803600006070500',532468917497315826681729345729534168148697253365281479953146782274853691816972534',0.0028290999980526976
31,095000702400560000300002005010095300060308050003610080500800009000036008108000630',695483712427561893381972465812795346764328951953614287536847129249136578178259634',0.0028946000020368956
32,010000070400200095600700400004182000003007000007004160040879000001000009000000340',915648273478213695632795418564182937123967854897354162346879521251436789789521346',0.020867199997155694
33,030000006600004007000010980060708300008030095020409600000040150200003009010000004',832597416691284537547316982965728341478631295123459678786942153254173869319865724',0.01149509999959264
34,090040000300001800000052000000090204802300007057000600080507010000000300000410009',598643721324971865761852943136798254842365197957124638689537412415289376273416589',0.003369300000485964
35,000700002500061300090300050000010704600904001408030000040005060006490008200006000',364759812572861349891342657925618734637924581418537926749285163156493278283176495',0.003854700000374578
36,410000090092800004000500000001980000000075000050203180008009070040300012600000009',413627598592831764867594231271986453384175926956243187128469375749358612635712849',0.01668729999801144
37,009000300158000296004060700010000070003040100090801040000602000000070000080904030',679258314158437296234169785415396872823745169796821543347682951961573428582914637',0.014815499998803716
38,081000560200000008000706000090371040000902000020864090000403000500000004074000310',781249563269135478453786129896371245147952836325864791918423657532617984674598312',0.009300000001530861
39,076009005005040018040000700000076320001000800024380000007000090950060400400700580',176839245395247618248615739589476321731952864624381957867524193953168472412793586',0.0077028999985486735
40,302010007060000100100900008009100003800000570000000020080060000000045002207300065',392518647768234159154976238629157483813429576475683921581762394936845712247391865',0.0423110000010638
41,750040100000000070020039006504000900080010604000000000010002000006080305300001009',753846192649125873821739456564278931987513624132964587415392768296487315378651249',0.01668200000131037
42,000205010000001000000364807805020004004700051173000008007000000200030000001457003',739285416486971532512364897895123764624798351173546928357812649248639175961457283',0.0035069000005023554
43,700008030000200008620090000309000007017050800060000050040025000003760900000009305',794618532135274698628593471359186247417952863862437159941325786583761924276849315',0.00951839999834192
44,001000002000230050300047900010000520096000008005000006008700005040300000100054800',751869342984231657362547981813976524496125738275483196638792415547318269129654873',0.15284029999747872
45,030010900960200000000006075070500004300000060006000507500001090003050640002409003',435718926967245318821396475279563184354187269186924537548631792793852641612479853',0.03505819999918458
46,000760003097020400400800000200090000041608270000070004000005006003040520100036000',512764893897523461436819752278491635341658279659372184724985316963147528185236947',0.0027993999974569306
47,004000200090000040600354001900106003000080000080902070040708030700000008008269700',534891267891627345627354891952176483476583912183942576245718639769435128318269754',0.008044299996981863
48,000003005805702000009000270004020050100904002080030700036000900000307608200400000',427693185865712439319548276794826351153974862682135794536281947941357628278469513',0.0027251999999862164
49,053892740002000600070000030000936000000000000000107000040000010300020009809070402',653892741482713695971564238728936154134258976596147823245689317367421589819375462',0.06487700000070618
50,009000500072105890100000007500437001007502400300010002083000170000000000000329000',849273516672145893135896247528437961917562438364918752283654179496781325751329684',0.002311200001713587
51,000060710020009000800030026030100000001204600000008050390020004000500070047080000',453862719726419538819735426932156847581274693674398251395627184168543972247981365',0.004152599998633377
52,501000908700608004080000060003104700000573000040000090900405001600000009010020030',561347928729618354384952167253194786896573412147286593932465871675831249418729635',0.002626800000143703
53,000060230900800061700020009002018000000004302670000010008001000400200000030700480',845169237923847561716523849352918674189674352674352918598431726467285193231796485',0.0036122000019531697
54,004200300650900048100000000900060000020509060000080001000000004810006075005003600',784251396652937148139648752941762583328519467567384921296175834813496275475823619',0.004333699998824159
55,002000180000003002907020003000038040006402300030970000500010607200300000074000200',352746189648193752917825463721638945896452371435971826583214697269387514174569238',0.007741399997030385
56,006030280000900601300000079100000000060090008279000050030600005002150000800302100',916735284457928631328461579183576942564293718279814356731689425642157893895342167',0.02366949999850476
57,600002810070000003008630002065000004020400300000050900000008600400017030590000008',643972815972185463158634792365729184829461357714853926237598641486217539591346278',0.08448420000058832
58,500000003097040850010000070070102090600000008080050030700409006002030500000508000',548217963297346851316895274473182695625973418189654732751429386862731549934568127',0.003464599998551421
59,200000080100007005056004000001080520407501000000020000000052800800000600090070053',274395186189267345356814297931786524427531968568429731743652819815943672692178453',0.0045780000000377186
60,100030084000004050004000230010000409080907010309000020096000800020600000740010002',167532984238794156954186237615328479482967315379451628596273841821645793743819562',0.008842300001560943
61,000009004040600800000000521090080000000900065500004003083000002005090000902038100',851329674247651839639847521394586217728913465516274983483165792165792348972438156',0.008558100002119318
62,006903000050070030700000800010300004502040070604008001000130009000009060100260500',486953217951872436723416895819327654532641978674598321268135749345789162197264583',0.007514199998695403
63,000090000031000000485307000700061200090038004000000600002000190000020860800009700',627594381931682457485317926754961238296738514318245679542876193179423865863159742',0.005834999999933643
64,004031008008600090930000000060020001400509006800040020000000062010002400300460100',274931658158674293936258714563827941427519386891346527745193862619782435382465179',0.00518000000010943
65,070090850605000900042801000009003000400006000006240700390005160700000380000000000',173692854685734921942851673819573246427916538536248719398425167754169382261387495',0.0228618999972241
66,060004100400060080009010070000600000096001803800050001500040290074000500000037004',365784129417269385289315476153678942796421853842953761531846297674192538928537614',0.0035982999979751185
67,960401053300060001000307000806000305030000040509000807000602000200040006610908072',968421753374865921152397684846279315731586249529134867497612538285743196613958472',0.016286699999909615
68,000009070090027008001060000050000780800045023010000940008010000040083002000004090',682539471495127368731468259254391786879645123316872945928716534547983612163254897',0.03262370000084047
69,402000000650007804000006290090600500001002008070300400000009640160005309905000000',412983756659217834783456291298641573341572968576398412827139645164725389935864127',0.0033177000004798174
70,040900870000700001000840005320000000087000300500000687010030000003056004000207000',145923876938765421762841935321678549687594312594312687216439758873156294459287163',0.007070200001180638
71,075901000310004000900060000200040051001208600460010003000080004000300085000406170',675921438312874596984563712237649851591238647468715923759182364146397285823456179',0.0038197000030777417
72,080094000054607000000050000030005029190000604006000030000500080800076015270010000',781394562354627198962851473437165829198732654526489731619543287843276915275918346',0.015118899998924462
73,407000000020007109030650000600500080000000002900400030050190000090008205804000000',487921653526837149139654827672513984348769512915482736253196478791348265864275391',0.06377470000006724
74,000000000072000950080109070010000090000596000007401800120000037006302400000040000',961753248372864951485129376613278594248596713597431862124985637756312489839647125',0.007645100002264371
75,200734000100080000040002806009000007030120050004000002090008501300070000400695000',268734915153986724947512836829453167736129458514867392692348571385271649471695283',0.008871899997757282
76,000000000032000950980010027000504000000000000509768304000070000008209400470080095',751692843632847951984315627163524789847931562529768314295476138318259476476183295',0.003227799999876879
77,908004702006010000120095008000049000031207000209360000300000006000000080805000301',958634712476812935123795468687549123531287694249361857312978546764153289895426371',0.00996099999974831
78,200010509500009020004050008002000090031000807040000000050061200007230000100000085',263718549518649723794352168672583491931426857845197632359861274487235916126974385',0.03078810000079102
79,050000080001040300620708049800502007000000000900401008390204075005030900040000060',459123786781649352623758149814592637562387491937461528396214875275836914148975263',0.004686000000219792
80,003000096050040203749000050090005000086000030400300000000050804000026710500700300',823571496651849273749632158397285641286194537415367982172953864938426715564718329',0.003385399999388028
81,400003700000060040020080000009100008000600107006700005040090000000020010800004300',465213789378965241921487653759132468284659137136748925643891572597326814812574396',0.0069398000014189165
82,600002500000100400000070000030950001007401005100030690790003040000009800000680002',679342518852196437341875269436958721927461385185237694798523146264719853513684972',0.0027608000018517487
83,060104000208600003070008400690000070000000001705000906002006030000200800080091004',569134782248657193173928465691345278824769351735812946912486537456273819387591624',0.032040199999755714
84,020000000000964100604001008000407085080050007000803061502006009000792300070000000',123578694857964123694231578369417285281659437745823961532186749418792356976345812',0.0069922000002407
85,000200000031500200470008030040000300603000000005000019900170050000003920007020100',596234781831567294472918536249681375613795842785342619928176453164853927357429168',0.010915700000623474
86,050009000000000040108065300020000807800500600000830000400000200210006003593010400',752349168639182745148765392325694817874521639961837524486973251217456983593218476',0.024859599998308113
87,030500091000090060000203400008000000070064005004000000000805100000020070060300048',432576891587491362916283457658932714379164285124758639793845126841629573265317948',0.0544530000006489
88,000030002400500300029010000090002507040000000010003406037080000500700200000040005',651834792478529361329617854893462517746158923215973486137285649564791238982346175',0.005386599998018937
89,000100400004000028020006003357810000100000005469370000070009001001000057000700900',735128469614937528928546173357812694182694735469375812576289341891463257243751986',0.004702300000644755
90,005080000000005804609010070000100360304006000060020009010700580006800740070002000',145287936237695814689413275928154367354976128761328459412769583596831742873542691',0.006969300000491785
91,000000006000003200350080090060035040400008300005900000040100000002009800000060500',289571436671493285354286791968735142427618359135924678846157923512349867793862514',0.3252207000005001
92,803402609600809007004000100036000780002706300100000004000000000000107000050268010',813472659625819437794635128936541782542786391178923564261394875389157246457268913',0.005005199996958254
93,074006100200073000900000087000300000060007002130060400600004000009000060008050009',574986123286173954913542687497325816865417392132869475651794238749238561328651749',0.017179200000100536
94,010640200605000001040005000200070300300960080008000004100500067000010800080003100',813647259625839471749125638251478396374961582968352714132584967597216843486793125',0.00537840000106371
95,010400250090000004400007306003040600968002000054000002030924000006570023000030400',617483259392615784485297316273148695968352147154769832731924568846571923529836471',0.011609500001213746
96,009000000000000300370190240700030000032801700010020400000040001800970600040005900',629483175184257396375196248796534812432861759518729463967348521851972634243615987',0.010537400001339847
97,008156400000030000040000020206705804100040005405203907010000080000020000007581600',728156493659432178341897526296715834173948265485263917512674389864329751937581642',0.006033099998603575
98,000090800050403000802000304000000090608000002047000030004260700000100060100030400',463792851751483926892651374235814697618379542947526138384265719579148263126937485',0.03233650000038324
99,016980000300000200009000130090050000000807004030260001100000902060304005005000070',216983547374615289859742136697451328521837694438269751143578962762394815985126473',0.006361499999911757
100,295007000000000700000015080000060309020008600040700000050000004409350006310000007',295837461861924753734615982187562349923148675546793218658279134479351826312486597',0.02229980000265641
