No.,Puzzle,Solution,Solve time in seconds
1,000000051070040006120000000800009600000076045300002100580000000030020004000000039',643287951975143286128695473854319627291876345367452198586934712739521864412768539',0.0731670999994094
2,000008904006000800010060020000007401003000080400500000230400009005070000100900508',527318964346295817819764325982637451753149286461582793238451679695873142174926538',0.015410100000735838
3,000000000050760480000020907080000000096000030000007609018002760070010300004003002',847539126259761483631428957483196275796245831125387649318952764572614398964873512',0.09932459999981802
4,004050800000204000605000201000827000050030010200000004100000003500040009060391050',324159867817264935695783241431827596958436712276915384149578623583642179762391458',0.035974200000055134
5,047200000600973000500000071750001020010040000090300400000006000005800007008000043',947215836681973254532468971754691328813542769296387415479136582365824197128759643',0.002650599999469705
6,700906005000302000300000006157000869406000501000000000001000600080705040070040080',714986235569372418328154796157423869436897521892561374941238657683715942275649183',0.009500500000285683
7,030020060900580200000370190065000009849002000000060400094001000207000006000600040',438129765971586234526374198765418329849732651312965487694251873257843916183697542',0.0027888000004168134
8,000076000000204970000090008080000062507008000120050004030000020040900300001805000',498176253356284971712593648984317562567428139123659784639741825845962317271835496',0.015870100000029197
9,007090000050067003400020100000050002923700000080000006004000080000000605060102070',637491528251867943498523167146358792923746851785219436314675289872934615569182374',0.009086600002774503
10,239000687008000200100000003010503070000108000070604050700000006001000800326000741',239415687568937214147286593612593478954178362873624159785341926491762835326859741',0.0061610000011569355
11,000005060002009001045100700000900180750000000000300620079400800008003006000008040',197845362832679451645132798324967185756281934981354627579426813418593276263718549',0.10104639999917708
12,900030800800090230010000095700028000000006042040300000060000000004700900100009053',927635814856194237413872695795428361381956742642317589269543178534781926178269453',0.003616000001784414
13,000007080004380065030000701080009000020000500100508200002076000740000000098000003',651297384274381965839654721485729136927163548163548297312876459746935812598412673',0.06247629999779747
14,000406000003000200000107000008602300062000910000090000480000053010708090009000100',871426539643985271925137864198672345762543918534891726487219653316758492259364187',0.16174310000133119
15,200000400003060009070500100008007002060000801000900005702050000000000010080312006',251893467843761529976524183598137642367245891124986375712658934635479218489312756',0.020017999999254243
16,010000000400002063009867004000630080000000031000740090004316005300004012070000000',612493758487152963539867124941635287765289431823741596294316875358974612176528349',0.011454999999841675
17,050700000010000034000849000005000106003000200109000700000923000630000020000007080',954731862718652934326849517285374196473196258169285743841923675637518429592467381',0.042589100001350744
18,510000000000069000097000063009201800000004001008906400035000027000052000970000000',516327984324869175897415263749231856263584791158976432435198627681752349972643518',0.005944900000031339
19,046102850001408600020000040309000205008050400000000000900040008002000900034609520',746192853591438672823567149369714285278956431415823796957241368682375914134689527',0.004649400001653703
20,050010260000600008007000190000004030006925700020300000078000600300002000012030050',853419267291657348647283195789164532136925784524378916978541623365892471412736859',0.0031766000029165298
21,600000000001000480940100050700000000036900000004050100580760010007020500009008206',658492731271635489943187652725816943136974825894253167582769314467321598319548276',0.009558000001561595
22,007009000280006905009500040000300600096002004000900300005700060970004503008001000',547129836283476915169538247852347691396812754714965382425793168971684523638251479',0.004159700001764577
23,500100600207060003000007280040000500002901700008000020073600000600070801001009006',539182647287465193164397285746823519352941768918756324473618952695274831821539476',0.005461900000227615
24,050908060390000072100000009037050940004000300001307500003506700000000000000831000',452978163396415872178263459637152948524689317981347526243596781819724635765831294',0.003551599998900201
25,600009140000010602000050070000900307006304200305008000040090000507040000091600004',652789143789413652134256879428965317916374285375128496243591768567842931891637524',0.002406100000371225
26,020800400400200090003046050340007601007000200005600000900450000081000060000100008',529873416468215793173946852342597681697381245815624379936458127281739564754162938',0.0046061000030022115
27,010007005000160000090008000001000508634000020000300060000019000100020609850040000',216937845385164792497258316921476538634581927578392164762819453143725689859643271',0.1002477000001818
28,065800000209005006170060000500090760007508000010040085000200300000401000020007004',465823179239175846178964253584392761697518432312746985746259318953481627821637594',0.020357099998363992
29,000900040000075080207000005100002900700104008009500002500000701070460000090003000',635918247914275683287346195158632974723194568469587312546829731372461859891753426',0.007070899999234825
30,000000200000690005000302010084207900030000024006900070600700009001089060090060102',468175293312698745975342618184257936739816524526934871653721489241589367897463152',0.015720100000180537
31,130000072029307640000000000003608900000000000008402300000000000016509230970000065',134965872529387641687241593453618927261793458798452316345126789816579234972834165',0.016051599999627797
32,070600050300001002002049600023000005005000100800000740001280500200400008040005070',174628359369751482582349617723164895495873126816592743931287564257416938648935271',0.0156762999977218
