No.,Puzzle,Solution,Solve time in seconds
1,300000640009001003562004007000705160000000000120009000900000370000100800007800201',371952648489671523562384917894735162756218439123469785918526374235147896647893251',0.003985799998190487
2,600010405000300090000007302030080600400203001009060040301700000080001000907020004',623819475714352896598647312132984657456273981879165243341796528285431769967528134',0.003557899999577785
3,050700000800006530016305800000050006040100003000020009038501700700008910090200000',453782691872916534916345827289453176547169283361827459638591742724638915195274368',0.004436100000020815
4,010900507000000200600030089000100000703400100000065003006020000980000001270010600',812946537349857216657231489568193742793482165421765893136528974985674321274319658',0.004634100001567276
5,001000600004316800009000200000709000060000020080502070072000390000103000300020008',851297634724316859639458217245769183967831425183542976572684391498173562316925748',0.005982200000289595
6,007000600016400020530001400080070340000360200003000005305980000060100000000006009',497823651816457923532691487281579346759364218643218795375982164964135872128746539',0.014939699998649303
7,060105200904000060030000700600027930000308000200610000406500007090800006000000859',867145293914273568532986714658427931149358672273619485486591327795832146321764859',0.005011799999920186
8,082040060300000000106007080000030400800906003003050009000300006908000000000028700',582143967397682541146597382769231458854976213213854679475319826928765134631428795',0.0036409999993338715
9,000850009000300000159000700400003000000260001802040073600700800000000300307405600',234857169786319524159624738415973286973268451862541973641732895528196347397485612',0.00430190000042785
10,010000008830004000006810300072000000050207090000000670001073500000400083500000040',214395768835764219796812354172649835658237491349581672481973526927456183563128947',0.01723189999756869
11,100973000030020500208000090460030007000007042500000009000000400000005020800402906',156973284739824561248651793462139857913587642587246319621398475394765128875412936',0.04366450000088662
12,090000507000901080000000006000000030602800000037020040180560000006700008905010000',398642517764951283251387496519476832642835971837129645183564729426793158975218364',0.03744729999743868
13,096000043300600000054070000061400008000529000500006390000050170000001006170000230',796215843312648957854973612961437528483529761527186394648352179235791486179864235',0.00930809999772464
14,708001000010900600002000070004000008300400000009010050230807504005000030001060002',768531249413972685592648173124759368357486921689213457236897514975124836841365792',0.0039643000018259045
15,000690040000054100000000059900500003340009026060040000010000000809070000005260008',158692347693754182724138659981526473347819526562347891216985734839471265475263918',0.004778299997269642
16,093100050240009010600000003900004005000090300060300100000087506470000000002600709',793168452245739618681425973937814265124596387568372194319287546476953821852641739',0.0032291999996232335
17,200009007007450000000721030604000710052000680013000205020145000000098300400300002',241839567937456821568721439694582713752913684813674295326145978175298346489367152',0.00975770000150078
18,009200400000040300860001009003602005090030010700904800600400093008090000002003100',379286451251749368864351279183672945496835712725914836617428593538197624942563187',0.004167999999481253
19,000500120000000004000020008006073000370009400040600009091004000005210000200030000',689547123523891674417326598956473281372189465148652739891764352735218946264935817',0.007178399999247631
20,800050001000902000035080970070205040300000006091000750000000000000861000503020608',829357461467912385135486972678235149354179826291648753786593214942861537513724698',0.0038199000009626616
21,003280060008007043420000000300050090200308001010070008000000017130700500050021400',573284169698517243421963875387152694264398751915476328842635917136749582759821436',0.0037967999996908475
22,000000100800270900019005060087060003000000507045020006028007040900810700000000600',352986174864271935719435268287569413693148527145723896528697341936814752471352689',0.004517500001384178
23,070060290000000086006012000709008000030401020000600803000250400590000000062040030',871365294253794186946812357729538641638471925415629873387256419594183762162947538',0.02056820000143489
24,020010400180000050003000806000390000600207004000051000208000600070000095001040020',526813479187964253493572816742396581615287934839451762258139647374628195961745328',0.021095099997182842
25,500200003008000000060004270100040050000300901009000040001060005006405029400030780',514278693728693514963514278137946852842357961659821347281769435376485129495132786',0.005675500000506872
26,009821060050000000804005000500008032100000008402600100000003000700900053000280040',379821564256394817814765329597148632163572498482639175921453786748916253635287941',0.005537100001674844
27,001704800704020000300000000040670100100403009007012080000000006000030508002501700',261794835784325961395186247943678152128453679657912483519847326476239518832561794',0.052632100003393134
28,009082006000601000600070052040003070902006000830120009000000003008900000503004607',459382716327651948681479352146893275972546831835127469214768593768935124593214687',0.004610499996488215
29,000400208002006090040500007106730080000908000090015702900001020080300600503009000',617493258852176394349582167126734985735928416498615732974861523281357649563249871',0.0037964999974064995
30,940010500603000040002000007008000000100490003050070000000001720700800004090040016',947612538683957142512384697428136975176495283359278461834561729761829354295743816',0.16287720000036643
31,002000510050070020900000008006034000510709034000810700200000001080050040041000600',862493517154678923973125468726534189518769234439812756295346871687951342341287695',0.005808199999592034
32,001000500500009600000028000703900840020306050059001203000830000002100007006000300',291643578548719632637528914763952841124386759859471263975834126382165497416297385',0.006388499998138286
33,056708390800030006000695000000000000300906007049173860000060000008000100010050030',456718392891234576723695481167582943385946217249173865534861729678329154912457638',0.0048496000017621554
34,200090001910000023008000700020705080000906000300408007007803100000000000800050006',275394861916587423438261759621735984784916235359428617567843192193672548842159376',0.004651100000046426
35,050000900007000050126070000000400009000802705000700001843090000002000060070000800',458236917937148256126975438785413629319862745264759381843691572592387164671524893',0.09065829999963171
36,700460000000030065000005400900000004140059000002040708009008010070000200010506000',795462831824731965361985472983627154147859623652143798439278516576314289218596347',0.015576900001178728
37,000003090150400060002601400204000830000000000018000206006504900070006024030900000',647253198159487362382691475294765831563128749718349256826574913971836524435912687',0.016078900000138674
38,000080400004000000050120008005200060102000309000003057600070000000402001001038092',917385426284769513356124978835297164172546389469813257623971845798452631541638792',0.01224950000323588
39,000700000008236400000048050007000840403500920000070036500017080080000000904020000',342759618158236479679148253217693845463581927895472136526917384781364592934825761',0.008259300000645453
40,800004000000020390005900700010008405000090081020001609004500900000060810900007000',893674152741825396265913748619238475357496281428751639134582967572369814986147523',0.003673499999422347
41,090001000300500080000802003028000630000000057406000100000604000070380000005020006',892731465341596782567842913728915634139468257456273198213654879674389521985127346',0.010323299997253343
42,840307000709000000051020000200040009005201600100050007000030160000000702000705083',846317295729586431351429876278643519935271648164958327597832164683194752412765983',0.014329600002383813
43,900000005002000700500782004096000350000803000008060100800010002050000010204090806',947136285682954731531782964496271358175843629328569147863417592759628413214395876',0.004857599997194484
44,000005090300004000050000128760050040400008000930070080010000579800009000000002060',187625394392184657654397128768253941421968735935471286213846579876539412549712863',0.004752400000143098
45,037000910280070065000040000053000620100060008000000000070608090000050000029104870',437586912281973465965241387853417629192365748746892153374628591618759234529134876',0.006550199999765027
46,030407100007300006140000080063070050000000400079020060680000090005900008090508600',938467125257381946146295387463879251812653479579124863681732594325946718794518632',0.004092699997272575
47,008560030310004050600000009090005000000493000000600040400000007070300086060081500',948562731312974658657138429794825163126493875835617942489256317571349286263781594',0.0070238000007520895
48,000050001000704006000060750010590000204600900090000030008070002003006000420000503',672859341539714826841263759316598274284637915795142638168375492953426187427981563',0.008213400000386173
49,040190870600000000080004302000309000001700034000402000020001507900000000030620980',243196875657283419189574362462319758591768234378452196826931547915847623734625981',0.005433499998616753
50,050000010600902004008107300024509630000000000089603140005706400400805003030000070',752364819613982754948157326124579638367418592589623147295736481471895263836241975',0.01100389999919571
51,000300002020090805001750000102003080056070000000200061090000050000507400410009003',569384712724691835831752946142963587356178294978245361297436158683517429415829673',0.06178310000177589
52,000402070090087000000019400500800300071000040382000600003905000200040001000000054',835462179194387526726519483549876312671293845382154697413925768257648931968731254',0.03984330000093905
53,060000000000840300001009050030002900002400010704090030900280100600005003025900000',467351829259846371381729456836512947592437618714698532973284165648175293125963784',0.009168100001261337
