No.,Puzzle,Solution,Solve time in seconds
1,300005100000064308900000000005030002003408500600050400000000001506140000009200003',362875194751964328984321765475639812293418576618752439837596241526143987149287653',0.005774500001280103
2,003000001800050300250000040000280000400003060100906000600000007340000800518490230',793824651864751329251369748936285174485173962172946583629538417347612895518497236',0.02199509999991278
3,504308102000000000800604009408070203000902000206040508100405007000000000703209805',574398162629751384831624759418576293357982416296143578182465937945837621763219845',0.002956899999844609
4,060902300800400070000000406120030007000704000300020065506000000040007003002105080',467952318853461279219378456128536947695714832374829165586243791941687523732195684',0.006591200002731057
5,061003820200000016700000009000930008000604000900027000800000007350000002072400930',461793825293845716785216349546931278127684593938527164819362457354179682672458931',0.008244000000559026
6,900306000001007200008200040003000017570000000000000902010002680602090000030060009',925346871341857296768219543293685417574921368186473952419732685652198734837564129',0.006405200001609046
7,023000190040000020007204300000080000060319070700000003000070000370408016200906008',623857194845193627197264385932785461564319872718642953486571239379428516251936748',0.005672600000252714
8,000308000030594060070000030004802600100609004020000050008000200006000900500010006',961378542832594167475126839754832691183659724629741358348967215216485973597213486',0.004988199998479104
9,000094006090700000600500000208010009004003005050000240500041000040600020703002500',382194756495726138671538492238415679964273815157869243526341987849657321713982564',0.008476499999233056
10,000000090610000408430010070200071000000245600000390000503000000040000260902004730',825467391617539428439812576284671953391245687756398142573926814148753269962184735',0.00826279999819235
11,930004008600080900020000060400600000006249500000008002010000030007090005800100097',931564278674382951528917364452631789786249513193758642219475836347896125865123497',0.007265000000188593
12,070000030080100004106950000000260000000009700400008390300000200700000065028400900',574826139289137654136954872917263548863549721452718396345691287791382465628475913',0.011968700000579702
13,009007040004005080000000701020080960008506100046030070501000000030600800060900200',659817342714325689283469751125784963378596124946132578591278436432651897867943215',0.006464199999754783
14,000001003090450000000000920020003054060000000700200010005000096009805700400900508',582791463693452187147638925928173654361549872754286319875314296239865741416927538',0.007344199999351986
15,400200000000030008050800630800040095040508070560090001074009010100050000000007004',483276159716935428259814637837641295941528376562793841674389512198452763325167984',0.010490000000572763
16,000674000070801040005000700080406010032000470040705020003000200050207030000583000',298674351376851942415392768987426513532918476641735829763149285859267134124583697',0.006600500000786269
17,640000081000802000098000650004306700080401020000020000070000090000503000100070003',642957381531862974798134652254386719387491526916725438473618295829543167165279843',0.014368600001034793
18,006000700000208000018000340020703080000000000904000103003000800040090050500846001',396154728457238916218967345625713489731489562984625173163572894842391657579846231',0.01779499999975087
19,008000300006140290000032064080020700000015840700400020010000079005001000300600000',248596317536147298197832564481329756962715843753468921814253679675981432329674185',0.008165100000042003
20,000000300014980050700026040003060090092105670070090100060810003020049510001000000',258471369614983752739526841183764295492135678576298134965817423827349516341652987',0.003400800000235904
21,010002900000600000205000083500090008009070100400060002840000705000003000003800020',618532947734689251295741683526194378389275164471368592842916735957423816163857429',0.024439799999527168
22,000600150001000302090005048900020700000401000003070004180200060409000200035007000',348692157651784392792315648914528736876431925523976814187249563469853271235167489',0.005647300000418909
23,004020001095600000120007000080070100500809002002040090000700015000001360400050900',634928571795614283128537649986273154541869732372145896863792415259481367417356928',0.02679290000014589
24,040500180068000007700480003000058000070001500000200709320000090005020071107000200',943572186568139427712486953439758612276941538851263749324617895695824371187395264',0.014408899998670677
25,500200007000001053710040000008400000370108024000006500000080075860300000200007008',583269147946871253712543896698425731375198624421736589139682475867354912254917368',0.029283500000019558
26,000070000070002630096503400014000200500000008009000140008106920027900060000020000',243679815175842639896513472714398256532461798689257143458136927327984561961725384',0.0029192000001785345
27,080004001509710000100009030001902800000000023002507600400005080908470000030001006',783654291529713468164289537341962875657148923892537614476325189918476352235891746',0.007267799999681301
28,042000000800750000000409080001007000560208097000100400020904000000031005000000370',142683759839752641756419283481397562563248197297165438325974816674831925918526374',0.00856509999721311
29,072000405000800000009047100350400200204305801008006043005980600000004000907000380',872631495541829736639547128356418279294375861718296543425983617183764952967152384',0.005899799998587696
30,007800090000600400190000320900040010000000004500090060830000640000400700001500080',457823196382619475196754328963248517278165934514397862835972641629481753741536289',0.017413400000805268
31,402000508500401007060000040720906081000000000940000053230000094000809000008030700',412793568589461327367285149723956481851342976946178253235617894174829635698534712',0.004761000000144122
32,500640003008000000040000079200800930300004005000012040000200000005108002802030057',529647813718923564643581279274865931381794625956312748137259486465178392892436157',0.010518800001591444
33,009028700000000020200059306607000003000701000100000802803610004050000000006530200',569328741318476529274159386687245193932781465145963872823617954451892637796534218',0.005222499999945285
34,000800700000920600080000342109000000007600030800030057000054000300000900240301000',523846791714923685986517342139475268457682139862139457691754823375268914248391576',0.006259699999645818
35,008100900000040280040000063003670000009003010060008009500061007300500100691000000',258136974936745281147892563813679452729453618465218739584961327372584196691327845',0.005486899997777073
36,209001030010300009300085000020000903000250800807010050000500006500002090760100405',259471638418326579376985142625847913941253867837619254192534786584762391763198425',0.022553800001333002
37,005700000600009305008000020700290050056030007400150030002000070900002804004900000',145723986627819345398645721731296458256438197489157632812364579963572814574981263',0.016476099997817073
38,009300060080090405100007090600020800020406030003010006030100009706030050010009200',259341768387692415164857392675923841921486537843715926532174689796238154418569273',0.0034952999994857237
39,300000009000091603000400080005800000080009007070040300040007560007000900960010002',321685749458791623796423185135872496684359217279146358842937561517268934963514872',0.006658399997832021
40,004000100570901048901000507260000054005000800090204070030020060000417000000000000',324785196576931248981642537263178954745396812198254673837529461652417389419863725',0.00591829999757465
41,706000009000705000800009001070000025000007000013050004000000102000300040209601307',726813459491765238835429761678134925542987613913256874364578192187392546259641387',0.21618679999664892
42,600081000040000078000405002006009084500000060304800200000008000060270000091600000',652781943143926578978435612726519384589342761314867295237198456865274139491653827',0.026178000000072643
43,070040060408100050010300009081000640700030501000000090000920000950603000007010000',375249168498167352216385479581792643729436581643851297164928735952673814837514926',0.04176980000192998
44,090080051205040006010300000000200000300406005000008000000004070600010504120070090',496782351235941786718365942541237869387496215962158437859624173673819524124573698',0.08152690000133589
45,040000060007105400200060007170204093000000000450709086700050004004802300090000070',945327168687195432231468957176284593829536741453719286718953624564872319392641875',0.00809060000028694
46,002070900000010000080309010600502003051000720200107004070408030000030000005020800',312875946569214378784369512647592183851643729293187654976458231128736495435921867',0.0035927999997511506
