No.,Puzzle,Solution,Solve time in seconds
1,100900200000000900600003078470300800006000000002001009000560000500004000030007405',157948236823675914694123578475396821916482753382751649741569382568234197239817465',247.373638699999
2,400000600093600070060001004020030060000810300007000092500060000080205000009007006',452973618193684275768521934825739461946812357317456892574368129681295743239147586',11.062622000001284
3,007500200003400056000002000140030020000080000050060041000700000730006500002009600',467513289923478156815692473146935728279184365358267941694751832731826594582349617',13.28874370000267
4,006290501030000008007608000000009800075000004000004100003502000050000003002380905',486293571931475628527618439314759862875126394269834157193542786758961243642387915',22.752018899998802
5,500046007000000060407200000205071000000500001804039000908100000000000030100094005',589346217321957468467218593295471386673582941814639752958123674742865139136794825',31.954852599999867
6,300500400008402000090300705672000040000000000080000317907003050000708600001005004',326571489758492136194386725672139548413857962589624317967243851245718693831965274',13.208791900000506
7,007006000209050306300000470000020050070640091000070040400000160901060705002001000',847236519219457386356819472694123857573648291128975643435792168981364725762581934',12.474094299999706
8,082000530300080004700304008004601300010000080005809400600408003500090007028000940',482167539351982674769354128874621395916543782235879461697418253543296817128735946',1.6261364000019967
9,005000000306004070070180500900001205000802000802600004009026050020700609000000400',195267348386594172274183596963471285417852963852639714749326851521748639638915427',0.2485448000006727
10,500000002008060900060201050002857400050304020007126800090603070003070500200000003',541938762328765941769241358912857436856394127437126895195683274683472519274519683',0.11786559999745805
11,001206300200000006030908040090803050000409000000050000029000680300000001608000504',951246378284735916736918245497863152513429867862157439129574683345682791678391524',21.677566899998055
12,000090000006204100081507290028000470700000002064000930052901640009805300000040000',235198764976234185481567293128359476793416852564782931352971648649825317817643529',1.5648346999987552
13,006400000050000020003089506001804007009060800700905100402590600010000030000003900',196452783857316429243789516561824397329167845784935162432591678915678234678243951',0.7807958999983384
14,006003102080005000200190000001030800008604030430070000700300418000060700800000900',596783142187245396243196587651932874978654231432871659765329418319468725824517963',12.965420200001972
15,009000040080250006053180700002090000000001390000800270007005602020000410300000000',219367548784259136653184729472593861865721394931846275197435682526978413348612957',62.1960282
16,000007000803910007400000960900070800080503090004090001052000009100035406000200000',596487213823916547417352968965174832781523694234698751652741389179835426348269175',5.50766090000252
17,007080100010000080280070045600807002070456090000000000050030020000000000004169800',467285139519643287283971645635897412172456398948312576856734921391528764724169853',32.65545049999855
18,090007500030500000100004007007020405200035000005800030000902000040000089800050600',498267513732518946156394827387129465264735198915846732671982354543671289829453671',3.476502999998047
19,010204060000109000000050000050020070000406000900503001003000600640701083082030190',319284765578169432264357918451928376837416529926573841193842657645791283782635194',11.825844800001505
20,007000093030700806800064170070020300008403700001070060045630008703005040280000500',167852493432791856859364172574926381698413725321578964945637218713285649286149537',4.106555999998818
21,600800200000100045090000630000002050002701400070600000065000090140007000008006002',653894271827163945491275638916432857382751469574689123265318794149527386738946512',32.61101989999952
22,000591000060302080300000001740050036620000018000609000008010300400000007030060040',284591673561372489397846521749158236625734918813629754978415362456283197132967845',3.08959970000069
23,010900820090002001800074003700000980080060500200000007003000000000020019900403700',417936825396852471852174693765341982189267534234598167573619248648725319921483756',12.158898800000316
24,750020006009500830306090000020005003000680000060001004105060000002700160680010002',758123496249576831316498527821945673493687215567231984175862349932754168684319752',14.216813099999854
25,002000004000047001400913020004081050035600000078300010000000900007409000380000002',712568394893247561456913827924781653135694278678325419541872936267439185389156742',1.866622699999425
26,600001050000000003870460000706000809002500000103000502360910000000000006400006020',634291758291875643875463291756124839982537164143689572367912485529748316418356927',4.43235519999871
27,006900080082003005470000000300890070000104000010037006000000014500600320040008600',136975482982413765475286193364892571257164938819537246623759814598641327741328659',11.193716199999471
